"","vscore","vcategory","vcontext"
"1","10","배우","연기 웃기고 재밌었어요"
"2","10","배우OST","모가디슈 재미이싸요호"
"3","7","스토리배우","연기 좋고 실화라서 더 재미남"
"4","10","배우","매력적인 배우들의 열연"
"5","6","스토리배우","볼때는 몰랐는데 보고나니까 재밌었던 것 같기도 하구"
"6","10","영상미배우","고생많으셧어요. 잘봣습니다."
"7","8","배우","많은생각을 하게 하는 영화~재미는 기본~~^^"
"8","10","배우","배우역시기대이상이엇어요 ㅎㅎ"
"9","10","연출영상미","결국은 헤어질 수 밖에 없는 한반도의 슬픈 현실"
"10","10","연출배우","재밌게 잘보았네요. 마음졸잉셔. 배우들 연기도짱"
"11","10","스토리배우","재밌게 보고 생각이 많아지는 영화네요"
"12","10","연출배우","류승완감독 때문에 본 영화..응원합니다.."
"13","8","연출영상미","좋은 재료로 맛있는 요리로만든 영화"
"14","8","스토리","Enjoyed it!"
"15","8","스토리배우","심각한 내용을 한국인만 알수 있는 감동으로 잘 버무렸다"
"16","8","영상미배우","볼만한 영화 강추는 아님"
"17","10","연출","즐겁게 관람했습니다."
"18","10","연출배우","허준호 연기는 늘 인상깊어요"
"19","10","스토리","볼만했다 킬링타임용으로"
"20","9","연출배우","실화가 바탕이라 더 재밌다. 현실적인 긴장감이 있었다."
"21","10","스토리배우","정말 재밌게 봤어요"
"22","10","스토리배우","세상 무서웠을 실화를 조금은 편안하게 담담하게 담아내고 재미있는 요소들이 섞여있어 집중해서 더 잘 볼 수 있었어요."
"23","10","스토리배우","재미있게 잘 보았어요"
"24","10","스토리배우","역사적인 이야기를 재미있게 잘 풀어내어 잘 봤습니다"
"25","10","연출","배우들의연기력도좋앗고잼잇게봣어요"
"26","10","연출배우","배우들이 모두 열심히 해준 작품 재미있게 봤습니다"
"27","10","영상미배우","태준기 나랑 결혼하자."
"28","10","스토리배우","너무 재밌게도 봤고 몰랐던 사건을 섬세하게 알 수 있었고, 이젠 익숙해져버린 분단된 조국에대해 진지하게 생각해 봤던 시간. 무겁고 진부할 내용을 너무 잘 연출함. 연기자들 최고!!"
"29","10","스토리배우","너무 기대했나요...볼만했어요"
"30","10","연출배우","좋아하는 배우들이 나와 더 재미 있에게 본 영화네요"
"31","7","연출배우","캐스팅,내용 영상미 다좋음~~~주의에 추천함"
"32","6","배우","배우들 연기가 참 괜찮았음. 마지막 장면은 공작 보급형 느낌?"
"33","10","연출스토리","재밌게 잘봤습니다~"
"34","9","연출배우","실화같은 실화라 했던가?"
"35","10","연출배우","구교환위 재발견이다"
"36","9","스토리","재미나고 활기찬 영화입니다"
"37","8","스토리영상미","재밌네요 그치만 내용이 어려웠어요"
"38","10","연출스토리","믿고보는 감독 입니다."
"39","10","연출배우","몰랐던 역사를 알게 되는 시간이였고 전쟁의 참담함을 느끼는 시간이였어요"
"40","10","스토리","와우! 시간가는줄 모르고 봤어요"
"41","10","스토리배우","배우와 스케일 감동"
"42","10","영상미","좋아용 좋아용 좋아용 아 아 너무"
"43","10","스토리배우","배우들의 좋은 연기."
"44","9","연출배우","정말 잘봤습니다~ 의미있는 영화네요 추천해요"
"45","9","영상미배우","한시도 긴장감을 놓을 수 없다"
"46","10","연출스토리","배우들의 연기를 보는게 좋아요"
"47","10","연출배우","잔잔하고 인간적인 교류"
"48","8","스토리배우","조인성의 비주얼이 튀지 않을 정도로 몰입감 최고"
"49","10","영상미배우","실감난 시대상과 액션 <U+0001F44D><U+0001F3FB>"
"50","8","연출스토리","적당한 텐션 ㅎㅎㅎ"
"51","10","연출배우","2021년에 봤던 영화 중에 제일 재밌게 본 영화같아요"
"52","7","배우","모가디슈? 난 잘 모르갔슈~"
"53","10","스토리배우","실화였어 마지막 엔딩에서 눈물이..."
"54","10","스토리배우","인물 다 좋았어요 영상도 좋았어요"
"55","10","영상미배우","보는 제가 다 마음 졸이며 봤어요 너무 재밌습니닷!"
"56","10","배우","조인성은 연기 나쁘지않은데 아쉽다"
"57","9","배우","연기잘하네요 좋았어요"
"58","10","배우OST","그럭저럭 볼만하네요"
"59","10","연출영상미","실제 이런 일이 있었다는 것만으로도 많이 놀랐네요"
"60","10","스토리배우","너무 잼있어요 실화라니 더욱 잼있는거 같고 가슴아픈 역사네요"
"61","10","스토리","스토리가 너무재미있음"
"62","4","스토리","뻔한 북한 이미지 메이킹 해주려는 듯 한 영화"
"63","10","연출배우","역시나 하는 감독과 배우들입니다. 실제로 있었던 일이라고 하니 믿어지지 않네요. 실제 배우들도 고생했을 것 같습니다."
"64","8","스토리","알지만 왠지 서글프고, 긴장되면서 재밌게 봤어요."
"65","10","연출스토리","왜 남과 북이야기만 나오면 눈물이"
"66","10","스토리","스트레스 풀리늘 영화네요"
"67","10","연출","재밌었어요 벜창하세요"
"68","10","연출배우","감동적이고 재밌어요"
"69","10","연출스토리","진짜 재미있어요 내용이 탄탄"
"70","7","배우","그냥... 시간 때우기용으로 잘 봤음"
"71","10","연출배우","한국 흥행영화의 정석"
"72","10","연출스토리","정말 재미있게 보았습니다!"
"73","10","스토리배우","실화를 바탕으로 만들어서 그런지. 스토리 탄탄. 배우 연기 넘 좋았습니다."
"74","10","연출스토리","실화기반이라 몰입감이 더..."
"75","10","스토리배우","조인성이 너무 잘생겼어요.. 스토리굿!"
"76","10","연출배우","몰입도 잘 되고 재밌는데 슬프당.."
"77","8","스토리배우","한번쯤 생각해볼영화"
"78","10","영상미배우","실화영화는 거의 보는편인데 잼잇게밧오요~"
"79","10","스토리","재미있었어요 \@&&)\&"
"80","10","스토리배우","오랜만에 대박 날 한국영화이다. 스토리는 소말라아 배경이지만 촬영은 모로코에서 했다지만 완성된 작품 보니 배우들 고생많았겠다."
"81","10","연출스토리","처음엔 지루했지만 괜찮은 마무리"
"82","10","스토리배우","영화가 아니면 몰랐을 내용을 영화로 풀어서 접하기 좋았습니다"
"83","10","영상미배우","재밌게잘봤습니다~~"
"84","10","연출영상미","실제 이야기를 써서 더욱 아슬아슬 실감났네요. 국가를 위한 대사들의 노력과 활약들 멋져요"
"85","10","연출스토리","조인성 간만에 보니 반갑 재밌게봄"
"86","10","스토리","마음에 와닿는 스토리였어요"
"87","10","스토리영상미","배우의 연기도 좋았고 재미나게 봤ㅅ브니다"
"88","10","연출배우","기대안했는데 연기력들짱!! 재밌어요"
"89","9","배우","생각보다는 너무 지루한 감이...:"
"90","9","연출스토리","기대안하고 본 영화였는데 스토리 영상미 배우연기 다좋았고 재이있었어요"
"91","9","스토리배우","신파 요소 빼면 괜찮아요"
"92","10","연출스토리","이런 스토리 영화 너무 좋아요"
"93","10","스토리배우","너무 재밌게 봤어요~배우들 모두 연기짱~^^"
"94","10","연출스토리","모가디슈! 너무 감동적이고 재밌게잘봤습니다"
"95","8","스토리배우","연기력 좋은 배우들이 모여 준수한 스토리와 함께 잘 만든 영화 시간가는줄 모르고 잘 봤습니다."
"96","8","영상미","스토리도 탄탄하고 영화 배경이 된 곳도 흥미롭고 배우들의 연기는 정말 최고였습니다"
"97","9","배우","훈훈하다. 허준호가 정말 멋있다."
"98","9","스토리배우","사운드와 긴장감이 전부인 영화."
"99","10","스토리배우","인간미가 있는 영화 오래만에 보네요"
"100","9","연출스토리","간만에 본 국민영화같은 영화"
